FISERV_ACCOUNT_ID,CREDIT_ABUSER_FLAG
C3PRLJVN5N768128,0
C3K270JTBSC56148,0
C3F040HRQZ964620,0
C3KJWGM3W3DW4792,0
C3L2XJJ12DLX7705,0
C3L041T74VWP1001,0
C3JWR38K6QSJ0593,0
C3K9Q4KKSL544241,0
C3L1BZVKK1VS9119,0
C3F4WM714M3G0350,0
C3PV6ZL1N6M61191,0
C3L635R5Z0Z48273,0
C3PTQ3GPPMDN2034,0
C3JX5J878X7Q0873,0
C3JSKSVMWZ9T0241,0
C3KLRFKGGWZH4187,0
C3L51VLNTD0Z5560,0
C3JWK6NH04NJ9298,0
C3L1DRSW61BS0752,0
C3KM44BPQDXQ1528,0
C3KRWBQ79LXG7112,0
C3L575WM3DXM9869,0
C3KV69VTJPH18154,0
C3KNPT1N6V5M4529,0
C3KSH97LP9KJ9065,0
C3KQS6QJ55QC6066,0
C3KRKS7DNCSL0885,0
C3F1QVN3D0969297,0
C3L0DTSB1LGH9277,0
C3K2B6BS3CT47583,0
C3L1D0HSHMC70034,0
C3KMLZW673K61774,0
C3L2MLS7L4KW9868,0
C3KNBG2HL57H8570,0
C3L3D9RK34TV0151,0
C3L4ND305WVW3913,0
C3L2P1NVTXHW1708,0
C3F4L1473SMX5319,0
C3K6C6CSGTNH8830,0
C3K98HZ2C3HF6379,0
C3K4WZ1NJDF59477,0
C3KTQ6B6WDHC8445,0
C3K86SNWQZCN8600,0
C3F2833CPXSP1178,0
C3KK0K6FFC2B6011,0
C3KQDZ2BR0WR8980,0
C3KHXSDC0V8G9306,0
C3L6S8720QM52423,0
C3L2S1JCP8KM2329,0
C3KK89Q50F8W0054,0
C3PV414WCKKZ0094,0
C3KP1Z8MXZ1X2647,0
C3JZW0NNGM5B3909,0
C3KN18W5FTT35356,0
C3L6H7R7NXNG5538,0
C3K6ZNGPS59K9299,0
C3K4S9NC5NN77315,0
C3L2NN061V321211,0
C3JX600427111913,0
C3JSH4R5C6KJ8864,0
C3KK9LKHC58J0989,0
C3K976XQVN9T4929,0
C3PS7KRWKRS60254,0
C3KXT4LW33WV8456,0
C3JX143NJRXJ7499,0
C3K5C6TKNJ639211,0
C3KVBXDN9B061273,0
C3KQN3VT4VK92479,0
C3L25Z50WL457780,0
C3L4MPJFTZVS1529,0
C3KQVSNQ22687577,0
C3K4L5LRWGM81417,0
C3K0L6N4GSTH7735,0
C3JZR3Q29SSZ9600,0
C3L0PZF8Q86M5563,0
C3KN5DKCGHL14736,0
C3KBPB62RF3J0205,0
C3KL5D2N3DJB4204,0
C3PVDMBH29KD5465,0
C3KM0ZQKFSDH9368,0
C3JSGQ4MGGJM7577,0
C3KSDQL2330C7713,0
C3K7F1W78N3C5121,0
C3KCGJ49VP0Q2382,0
C3KLSM5F55W84476,0
C3K3CRJG90SM0139,0
C3K9W8H48P388721,0
C3K56PQMWTHT5391,0
C3L0B29J69ZG7446,0
C3L82BKXFV764235,0
C3PVRZ4TXWNS0991,0
C3L1CCVTNQD29580,0
C3PV97TBW24G2892,0
C3L3Z5TVNW3R3196,0
C3K6LN19S5S59621,0
C3F39KKT9G210385,0
C3KSR5NFH9356573,0
C3L709FSK7DP6564,0
C3F4FZ6KSTNT3884,0
C3PVM4MDC5930333,0
C3KLVGJ50VJ85952,0
C3L6VM4H7JPV3751,0
C3KHG787R1HN1493,0
C3F0MKFXSHS59744,0
C3L0278RWWDM0136,0
C3L5Z7GP1KS64978,0
C3KVX48N1H5H3484,0
C3F4TRWNMF9F9733,0
C3KVZ2P8C63M3757,0
C3L71Z6TH9PK8057,0
C3KMHN543SZH0099,0
C3L0K31N0VCR2594,0
C3KTQ9P777FW8585,0
C3JXBDQXXWB74560,0
C3KDBFW4HCTV4684,0
C3KKX210Q09N0418,0
C3K1WJHLL5XL1925,0
C3L5Q34HFQZ39173,0
C3KQVMLW45KZ7528,0
C3L00K3WFBW48585,0
C3L8B3K5LL8V7402,0
C3KC44CHQ8FJ8125,0
C3KNNC15TXN63281,0
C3L560N2CVF59083,0
C3K0NQVW3C970127,0
C3JWGJ9H2MF38787,0
C3PT0XN2X8WZ8132,0
C3PVR0W3P8RP3725,0
C3KSJRG5JB5N0865,0
C3KGC6SGP5FQ4838,0
C3KWN1ML564R7369,0
C3KDK7LRZ8V37604,0
C3JQW7FXC4MM8360,0
C3K5DG54G3FR0532,0
C3KSW462SK3M9296,0
C3JR2NMCLB3P9210,0
C3K3RV6CRJKT2820,1
C3K1WN37DR6D1958,0
C3K2WCQBT6WZ6592,0
C3KRVQ9BGT0P6734,0
C3JZV70184VS2646,0
C3K0417GPHN39369,0
C3KTNK89489C6530,0
C3L2ZKK2VVGT8661,0
C3KP8R8KFJ547547,0
C3F1VK7F6PJ20162,0
C3KTS5JXBH5W9419,0
C3K9GRXP7DQ20306,0
C3K6N8KXRF4Q1361,0
C3F45MSW8J7P2472,0
C3K7TPNWJNSF6381,0
C3KSF4GFBKFD8125,0
C3KRKR4TG89G0851,0
C3KTGLZ59C6P1531,0
C3K6276XRHRQ7999,0
C3L6CK7D71FD3083,0
C3KZRWVJF0W25219,0
C3K55WF66GVG4741,0
C3L3ZJKZTKWM4608,0
C3KHSM1M7HMN7193,0
C3K4QV737XHT5731,0
C3DP2Z86RRF12436,0
C3PVWTRXX6C51486,0
C3K241HN612W5173,0
C3K2H3RPN3PJ3383,0
C3KPC9CFKVKQ8990,0
C3K636FRZ37Q9698,0
C3KQDFGJ3HKJ8691,0
C3L5ZB3KTMP75352,0
C3L7988KND931366,0
C3F0M4CTWJ108787,0
C3KBBG2J7S5X5882,0
C3K6TWC89MN55883,0
C3K5QFMG1N090978,0
C3KTFF65JVC10400,0
C3KGRZ7D9SJZ2666,0
C3KQSXNFTMWF6686,0
C3K59J248NN88098,0
C3L51LXF18375222,1
C3L4R6HC3G518300,0
C3K26GGDD1S56049,0
C3KC88RBL8T00063,0
